threshold,tp,tn,fp,fn,precision,recall,f1,cost
0.8300000000000001,0,1079,0,193,0.0,0.0,0.0,1930.0
0.8400000000000001,0,1079,0,193,0.0,0.0,0.0,1930.0
0.85,0,1079,0,193,0.0,0.0,0.0,1930.0
0.86,0,1079,0,193,0.0,0.0,0.0,1930.0
0.87,0,1079,0,193,0.0,0.0,0.0,1930.0
0.88,0,1079,0,193,0.0,0.0,0.0,1930.0
0.89,0,1079,0,193,0.0,0.0,0.0,1930.0
0.9,0,1079,0,193,0.0,0.0,0.0,1930.0
0.91,0,1079,0,193,0.0,0.0,0.0,1930.0
0.92,0,1079,0,193,0.0,0.0,0.0,1930.0
0.93,0,1079,0,193,0.0,0.0,0.0,1930.0
0.9400000000000001,0,1079,0,193,0.0,0.0,0.0,1930.0
0.9500000000000001,0,1079,0,193,0.0,0.0,0.0,1930.0
0.9600000000000001,0,1079,0,193,0.0,0.0,0.0,1930.0
0.97,0,1079,0,193,0.0,0.0,0.0,1930.0
0.98,0,1079,0,193,0.0,0.0,0.0,1930.0
0.99,0,1079,0,193,0.0,0.0,0.0,1930.0
